Topic,Type,Mean,Std.Err
affect,Digital news feed,4.450150363,1.951404777
posemo,Digital news feed,1.898444978,1.171206893
negemo,Digital news feed,2.503687446,1.28684508
anx,Digital news feed,0.433663103,0.337313862
anger,Digital news feed,1.166657982,0.758038769
sad,Digital news feed,0.376640952,0.325480664
focuspast,Digital news feed,0.884411513,0.812413187
focuspresent,Digital news feed,4.46560872,2.019171771
focusfuture,Digital news feed,0.750433796,0.535584417
affect,Social media feed (Facebook),10.81928169,2.701106053
posemo,Social media feed (Facebook),6.303584101,1.730677779
negemo,Social media feed (Facebook),4.367607237,1.255486635
anx,Social media feed (Facebook),0.738322094,0.309215111
anger,Social media feed (Facebook),1.363535581,0.504046592
sad,Social media feed (Facebook),0.928149671,0.344553458
focuspast,Social media feed (Facebook),9.472325329,3.051623679
focuspresent,Social media feed (Facebook),17.2047295,3.894334582
focusfuture,Social media feed (Facebook),2.889708991,0.894051865
